review_id,order_id,review_comment_message
80e641a11e56f04c1ad469d5645fdfde,a548910a1c6147796b98fdf73dbeba33,null
228ce5500dc1d8e020d8d1322874b6f0,f9e4b658b201a9f2ecdecbb34bed034b,null
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,"Recebi bem antes do prazo estipulado."
f7c4243c7fe1938f181bec41a392bdeb,8e6bfb81e283fa7e4f11123a3fb894f1,"ParabÃ©ns lojas lannister adorei comprar pela Internet seguro e prÃ¡tico ParabÃ©ns a todos feliz PÃ¡scoa"
07f9bee5d1b850860defd761afa7ff16,e48aa0d2dcec3a2e87348811bcfdf22b,null
7c6400515c67679fbee952a7525281ef,c31a859e34e3adac22f376954e19b39d,null
a3f6f7f6f433de0aefbb97da197c554c,9c214ac970e84273583ab523dfafd09b,null
c9cfd2d5ab5911836ababae136c3a10c,cdf9aa68e72324eeb25c7de974696ee2,null
96052551d87e5f62e6c9f6974ec392e9,3d374c9e46530bb5ed4a7648915306a6,null
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,"Vendedor confiÃ¡vel, produto ok e entrega antes do prazo."
8e15a274d95600fa14f8be64e37a0e67,ff1581e08b3011021e7c7de592ddc81e,null
80c70bc263881ba6525f6cee1d94ac87,ae168dfba236919411fe08f336fefa44,null
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,"Loja nota 10"
7bcb3c758c67f23638262c731493e848,7c9956750739a47dba7a6928ba2f0245,null
0e0190b9db53b689b285d3f3916f8441,79832b7cb59ac6f887088ffd686e1d5e,"obrigado pela atenÃ§ao amim dispensada"
