review_id,order_id,review_comment_message
15197aa66ff4d0650b5434f1b46cda19,b18dcdf73be66366873cd26c5724d1dc,null
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,PÃ©ssimo
2c5e27fc178bde7ac173c9c62c31b070,0ce9a24111d850192a933fcaab6fbad3,"NÃ£o gostei ! Comprei gato por lebre"
58044bca115705a48fe0e00a21390c54,68e55ca79d04a79f20d4bfc0146f4b66,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo mÃ¡ximo. No stark o prazo mÃ¡ximo jÃ¡ se esgotou e ainda nÃ£o recebi o produto."
9fd59cd04b42f600df9f25e54082a8d1,3c314f50bc654f3c4e317b055681dff9,"Nada de chegar o meu pedido."
eb26c2bfb5030f57dcef30d3f111eb1e,88096595631e8d26b658306256e3ce34,null
e233e51d11511bf30e568c76360ace52,548df2c6e5f089574614894bca78acf5,"recebi somente 1 controle Midea Split ESTILO.Faltou Controle Remoto para Ar Condicionado Consul"
6d06808638ec0701bccd70bc8d462c28,97d2f8fe76f2f253b8291e17b5383884,"O produto nÃ£o chegou no prazo estipulado e causou transtorno, pq programei a viagem de fÃ©rias do meu filho, baseado no prazo. Moro na Bahia e ele em CuiabÃ¡ sozinho. Agora, a casa estÃ¡ vazia."
60c714ed14cef913944a3147094a4742,9ac05114800f02bfaa783bd76842dbe2,"Produto muito inferior, mal acabado."
65dfeb60c40e3cbb0a1838285d86f885,a2714ecbf6eeb3bb9cd7dba6dc1c5e82,"Pedi reembolso e sem resposta atÃ© momento"
1090909faae22e5ab76903e8493063f1,a1341cb83bbf1b47392f4a3685d56bad,null
d23ac17822a812782cf7f848b2a8b38b,705402bc1d956067338873d414158d09,null
ae728c1061bf163b4bd256ad9ee0bb83,45c780334bc32cb77559a65c5f171160,"Este foi o pedidoBalde Com 128 PeÃ§as - Blocos De Montar 2 un - R$ 25,00 cada (NÃƒO FOI ENTREGUE)Vendido e entregue targaryenTapete de Eva NÂº Letras 36 PeÃ§as CrianÃ§as 1 un - R$ 35,90 (ESTE FOI ENTREG"
72730619a00e0ecdecf0a4ff862d8996,af76a45a10524549102e010f2bd9d3cd,"comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois"
5b713e49352337557efe509b2e801183,93e87829bab4127b8692f52a73df4284,null
